investigation_type,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,state,year,month,day,human_error,make_model
incident,incident,minor,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,106.0,VMC,climb,Probable Cause,WA,1991,8,22,False,boeing 747
incident,incident,minor,unknown,boeing,MD83,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,139.0,VMC,taxi,Probable Cause,WA,1994,4,17,False,boeing MD83
incident,incident,minor,unknown,boeing,MD80,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,144.0,VMC,taxi,Probable Cause,WA,1996,12,20,False,boeing MD80
accident,non-fatal,substantial,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,19.0,97.0,VMC,landing,Probable Cause,WA,1997,9,1,False,boeing DC9
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,134.0,VMC,takeoff,Probable Cause,WA,1997,9,27,False,boeing 737
incident,incident,minor,unknown,boeing,757,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,196.0,VMC,climb,Probable Cause,WA,1997,10,16,False,boeing 757
incident,incident,minor,unknown,boeing,DC8,no,4.0,turbo jet,commercial flight,0.0,0.0,0.0,5.0,IMC,landing,Probable Cause,WA,1998,7,18,False,boeing DC8
incident,incident,minor,unknown,embraer,ERJ135,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,3.0,VMC,takeoff,Probable Cause,WA,1998,7,29,False,embraer ERJ135
incident,incident,minor,unknown,embraer,ERJ135,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,3.0,VMC,takeoff,Probable Cause,WA,1999,8,24,False,embraer ERJ135
accident,non-fatal,substantial,unknown,boeing,DC8,no,4.0,turbo jet,commercial flight,0.0,0.0,0.0,5.0,VMC,takeoff,Probable Cause,WA,2000,2,19,False,boeing DC8
incident,incident,minor,unknown,boeing,MD83,no,unknown,turbo jet,commercial flight,0.0,0.0,2.0,91.0,unknown,landing,Probable Cause,WA,2000,3,11,False,boeing MD83
incident,incident,unknown,unknown,airbus,A300,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,2.0,VMC,landing,Probable Cause,WA,2000,3,28,False,airbus A300
incident,incident,unknown,unknown,boeing,MD82,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,145.0,VMC,standing,Probable Cause,WA,2000,4,1,False,boeing MD82
accident,non-fatal,unknown,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,4.0,VMC,taxi,Probable Cause,WA,2000,5,24,False,boeing 767
incident,incident,unknown,unknown,boeing,DC8,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,5.0,VMC,cruise,Probable Cause,WA,2000,6,17,False,boeing DC8
incident,incident,unknown,unknown,boeing,DC8,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,4.0,IMC,approach,Probable Cause,WA,2001,1,16,False,boeing DC8
accident,non-fatal,substantial,unknown,boeing,757,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,90.0,VMC,standing,Probable Cause,WA,2002,3,2,False,boeing 757
incident,incident,minor,unknown,boeing,MD11,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,2.0,VMC,standing,Probable Cause,WA,2002,5,31,False,boeing MD11
incident,incident,unknown,unknown,boeing,DC-9-,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,111.0,VMC,landing,Probable Cause,WA,2003,3,14,False,boeing DC-9-
incident,incident,unknown,unknown,boeing,737,no,unknown,turbo fan,commercial flight,0.0,0.0,0.0,94.0,VMC,approach,Probable Cause,WA,2004,2,24,False,boeing 737
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,46.0,VMC,approach,Probable Cause,WA,2005,1,30,False,boeing 737
accident,non-fatal,substantial,unknown,boeing,MD83,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,142.0,VMC,climb,Probable Cause,WA,2005,12,26,False,boeing MD83
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,76.0,VMC,takeoff,Probable Cause,WA,2006,10,30,False,boeing 737
incident,non-fatal,unknown,airplane,boeing,737,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,141.0,IMC,unknown,The failure of the deicing crew to follow company procedures by not receiving confirmation from the flight crew before beginning to deice the airplane.,WA,2008,12,24,False,boeing 737
accident,non-fatal,substantial,airplane,boeing,757,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,352.0,VMC,unknown,The failure of the tug operator and wing walker of this airplane to maintain clearance with the other aircraft during the pushback process in dark night. Also causal was the ramp controller's misinterpretation of the other airplane's gate location and her improper clearance for both airplanes to simultaneously push back from nearly opposing gates.,WA,2008,12,28,False,boeing 757
accident,non-fatal,unknown,airplane,boeing,757,no,2.0,turbo fan,commercial flight,0.0,1.0,1.0,188.0,VMC,unknown,"The airplane's encounter with moderate turbulence at a higher altitude than the flight crew expected, resulting in an injury to a cabin crewmember.",WA,2011,2,28,False,boeing 757
incident,non-fatal,unknown,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,153.0,VMC,unknown,the flight crew's misidentification of the taxiway as the landing runway.,WA,2015,12,19,False,boeing 737
incident,non-fatal,unknown,airplane,airbus,A330,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,120.0,unknown,unknown,A No. 1 engine fire caused by a fuel manifold supply line high cycle fatigue crack which led to a fuel leak that subsequently ignited on hot engine case surfaces. The fatigue crack originated and progressed due to elevated fuel manifold assembly vibration levels. Engine vibration testing identified a combustor tone that excites a natural (resonant) frequency of the fuel manifolds at specific engine speeds on Pratt & Whitney PW4000-94 and -100 inch fan series engines that feature a TALON II combustor.,WA,2016,10,26,False,airbus A330
accident,minor,unknown,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,66.0,VMC,unknown,During cruise flight with no reported turbulence a passenger sustained a serious injury for an unknown reason.,WA,2022,5,22,False,boeing 737
incident,incident,minor,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,160.0,VMC,landing,Probable Cause,NJ,1983,12,7,False,boeing DC10
incident,incident,minor,unknown,lockheed,1329,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,6.0,VMC,approach,Probable Cause,NJ,1984,1,2,False,lockheed 1329
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,10.0,98.0,VMC,landing,Probable Cause,NJ,1987,1,3,False,boeing 737
incident,incident,unknown,unknown,lockheed,C141,no,4.0,turbo fan,commercial flight,0.0,0.0,2.0,15.0,VMC,cruise,Probable Cause,NJ,1987,4,8,False,lockheed C141
incident,incident,unknown,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,226.0,VMC,approach,Probable Cause,NJ,1987,11,1,False,boeing 727
incident,incident,unknown,unknown,boeing,DC-9-,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,226.0,VMC,takeoff,Probable Cause,NJ,1987,11,1,False,boeing DC-9-
incident,incident,unknown,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,94.0,VMC,landing,Probable Cause,NJ,1987,11,21,False,boeing DC10
accident,non-fatal,substantial,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,67.0,VMC,climb,Probable Cause,NJ,1987,12,5,False,boeing 737
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,123.0,VMC,climb,Probable Cause,NJ,1988,3,18,False,boeing 737
incident,incident,minor,unknown,boeing,727,no,3.0,turbo jet,commercial flight,0.0,0.0,0.0,3.0,VMC,takeoff,Probable Cause,NJ,1988,10,6,False,boeing 727
incident,incident,minor,unknown,boeing,DC9,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,89.0,VMC,descent,Probable Cause,NJ,1989,7,25,False,boeing DC9
accident,non-fatal,unknown,unknown,airbus,A300,no,2.0,turbo fan,commercial flight,0.0,2.0,10.0,204.0,IMC,cruise,Probable Cause,NJ,1991,7,1,False,airbus A300
accident,non-fatal,substantial,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,36.0,134.0,VMC,taxi,Probable Cause,NJ,1991,10,16,False,boeing 737
accident,non-fatal,substantial,unknown,boeing,MD80,no,2.0,turbo fan,commercial flight,0.0,0.0,36.0,134.0,VMC,taxi,Probable Cause,NJ,1991,10,16,False,boeing MD80
accident,non-fatal,substantial,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,361.0,VMC,taxi,Probable Cause,NJ,1992,8,11,False,boeing 747
incident,incident,unknown,unknown,boeing,727,no,3.0,turbo jet,commercial flight,0.0,0.0,0.0,67.0,VMC,taxi,Probable Cause,NJ,1993,2,11,False,boeing 727
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,61.0,VMC,takeoff,Probable Cause,NJ,1993,3,15,False,boeing 737
incident,incident,unknown,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,3.0,VMC,landing,Probable Cause,NJ,1993,3,22,False,boeing 727
incident,incident,minor,unknown,airbus,A300,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,163.0,VMC,landing,Probable Cause,NJ,1993,12,6,False,airbus A300
incident,incident,minor,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,288.0,VMC,taxi,Probable Cause,NJ,1995,5,19,False,boeing 737
incident,incident,minor,airplane,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,288.0,VMC,taxi,Probable Cause,NJ,1995,5,19,False,boeing 767
incident,incident,minor,unknown,boeing,MD82,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,147.0,IMC,landing,Probable Cause,NJ,1997,2,17,False,boeing MD82
accident,non-fatal,unknown,unknown,airbus,A320,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,44.0,VMC,cruise,Probable Cause,NJ,1997,4,7,False,airbus A320
accident,non-fatal,substantial,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,168.0,VMC,landing,Probable Cause,NJ,1997,5,22,False,boeing 767
accident,non-fatal,destroyed,unknown,boeing,MD11,no,3.0,turbo fan,commercial flight,0.0,0.0,5.0,0.0,VMC,landing,Probable Cause,NJ,1997,7,31,False,boeing MD11
incident,incident,minor,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,110.0,VMC,landing,Probable Cause,NJ,1998,11,6,False,boeing 737
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,108.0,VMC,standing,Probable Cause,NJ,1999,3,17,False,boeing 737
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,76.0,VMC,descent,Probable Cause,NJ,1999,5,25,False,boeing 737
accident,non-fatal,unknown,unknown,airbus,A319,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,44.0,VMC,cruise,Probable Cause,NJ,1999,9,30,False,airbus A319
accident,non-fatal,substantial,unknown,boeing,MD11,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,2.0,VMC,landing,Probable Cause,NJ,1999,10,5,False,boeing MD11
accident,non-fatal,substantial,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,3.0,VMC,taxi,Probable Cause,NJ,2000,3,1,False,boeing DC10
accident,non-fatal,substantial,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,234.0,VMC,takeoff,Probable Cause,NJ,2000,4,25,False,boeing DC10
incident,incident,minor,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,244.0,VMC,takeoff,Probable Cause,NJ,2000,9,5,False,boeing DC10
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,121.0,IMC,cruise,Probable Cause,NJ,2004,4,14,False,boeing 737
accident,non-fatal,substantial,airplane,boeing,777,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,214.0,VMC,takeoff,Probable Cause,NJ,2005,3,2,False,boeing 777
accident,non-fatal,minor,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,14.0,VMC,taxi,Probable Cause,NJ,2005,3,16,False,boeing 737
accident,non-fatal,substantial,airplane,embraer,ERJ145,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,205.0,VMC,taxi,Probable Cause,NJ,2005,8,8,False,embraer ERJ145
accident,non-fatal,substantial,airplane,boeing,737,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,205.0,VMC,taxi,Probable Cause,NJ,2005,8,8,False,boeing 737
accident,non-fatal,substantial,unknown,embraer,ERJ135,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,16.0,VMC,taxi,Probable Cause,NJ,2006,7,24,False,embraer ERJ135
incident,incident,minor,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,1.0,VMC,taxi,Probable Cause,NJ,2006,8,21,False,boeing 737
incident,incident,unknown,unknown,boeing,757,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,154.0,VMC,landing,Probable Cause,NJ,2006,10,28,False,boeing 757
accident,non-fatal,substantial,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,312.0,VMC,taxi,Probable Cause,NJ,2006,10,31,False,boeing 747
incident,non-fatal,unknown,airplane,airbus,A320,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,107.0,VMC,unknown,a fault in the airplane's AC 1 electrical bus that caused a number of other electrical busses on the aircraft to lose power.,NJ,2008,1,25,False,airbus A320
accident,non-fatal,substantial,airplane,airbus,A320,no,2.0,turbo fan,commercial flight,0.0,0.0,5.0,150.0,unknown,unknown,"The ingestion of large birds into each engine, which resulted in an almost total loss of thrust in both engines and the subsequent ditching on the Hudson River. Contributing to the fuselage damage and resulting unavailability of the aft slide/rafts were (1) the Federal Aviation Administrations approval of ditching certification without determining whether pilots could attain the ditching parameters without engine thrust, (2) the lack of industry flight crew training and guidance on ditching techniques, and (3) the captains resulting difficulty maintaining his intended airspeed on final approach due to the task saturation resulting from the emergency situation.

Contributing to the survivability of the accident was (1) the decision-making of the flight crewmembers and their crew resource management during the accident sequence; (2) the fortuitous use of an airplane that was equipped for an extended overwater flight, including the availability of the forward slide/rafts, even though it was not required to be so equipped; (3) the performance of the cabin crewmembers while expediting the evacuation of the airplane; and (4) the proximity of the emergency responders to the accident site and their immediate and appropriate response to the accident.",NJ,2009,1,15,False,airbus A320
incident,non-fatal,minor,airplane,airbus,A319,no,2.0,turbo jet,commercial flight,0.0,3.0,0.0,50.0,VMC,unknown,"A mechanical failure of internal components of the right main landing gear door actuator resulting in the flight crew being unable to fully extend the right main landing gear using the normal and alternate procedures.

Contributing to this incident was a circular reference in the company Flight Manual in which the Landing Gear Gravity Extension checklist referred back to the Landing Gear Unsafe Indication After Extension checklist rather than the Landing Gear - Partial Gear or Gear Up Landing checklist.",NJ,2010,1,10,False,airbus A319
incident,non-fatal,minor,airplane,airbus,A320,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,140.0,unknown,unknown,"The separation of both halves of the left engine fan cowl assembly due to improper latching and locking of the all the fan cowl latches. The cause of the improper latching and locking of the fan cowls was due to the failure of the mechanic to unstow and properly latch and lock the fan cowl latches after the engine maintenance had been completed, and the failure of the maintenance  inspector to detect and identify the unlatched condition. Contributing the incident is the design of the fan cowl latch assembly that can provide a false latch condition when the latch is neither latched or locked. Also contributing incident is the lack of adequate Airbus and Jet Blue fan cowl latch inspection guidance to detect and identify an unlatched condition.",NJ,2010,4,5,False,airbus A320
accident,non-fatal,unknown,airplane,airbus,A321,no,2.0,turbo fan,commercial flight,0.0,0.0,1.0,188.0,IMC,unknown,an encounter with convective turbulence that resulted in injury to a passenger who was not seated when the seatbelt sign was illuminated.,NJ,2012,2,24,False,airbus A321
accident,non-fatal,minor,airplane,airbus,A330,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,290.0,VMC,unknown,the failure of flight 908's captain to ensure adequate clearance between the wingtip of his airplane and flight 4226's empennage when he attempted to pass behind the other airplane.,NJ,2013,5,1,False,airbus A330
accident,non-fatal,substantial,airplane,boeing,MD88,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,153.0,VMC,unknown,the ground crew's misjudgment of the distance between the B767 wingtip and the MD-88 tail.  Contributing to the accident was the slushy condition of the ramp which limited the maneuvering space available.,NJ,2016,1,24,False,boeing MD88
accident,non-fatal,unknown,airplane,boeing,757,no,2.0,turbo fan,commercial flight,0.0,0.0,1.0,176.0,unknown,unknown,the catering cart striking the flight attendant's foot.,NJ,2018,9,24,False,boeing 757
accident,non-fatal,substantial,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,1.0,1.0,51.0,VMC,takeoff,Probable Cause,FL,1982,2,17,False,boeing 727
incident,incident,minor,airplane,lockheed,L1011,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,152.0,VMC,landing,Probable Cause,FL,1982,4,20,False,lockheed L1011
accident,fatal,unknown,airplane,boeing,707,no,4.0,turbo fan,commercial flight,1.0,0.0,0.0,3.0,VMC,climb,Probable Cause,FL,1982,11,11,False,boeing 707
accident,non-fatal,substantial,airplane,boeing,707,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,116.0,VMC,takeoff,Probable Cause,FL,1982,11,27,False,boeing 707
incident,incident,minor,airplane,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,21.0,VMC,takeoff,Probable Cause,FL,1982,12,6,False,boeing 727
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,74.0,VMC,takeoff,Probable Cause,FL,1983,2,15,False,boeing 727
incident,incident,unknown,unknown,lockheed,L1011,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,172.0,VMC,descent,Probable Cause,FL,1983,5,5,False,lockheed L1011
incident,incident,minor,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,77.0,VMC,taxi,Probable Cause,FL,1983,6,25,False,boeing DC9
incident,incident,minor,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,201.0,VMC,approach,Probable Cause,FL,1983,9,1,False,boeing DC10
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,73.0,VMC,landing,Probable Cause,FL,1983,10,19,False,boeing 727
incident,incident,minor,unknown,airbus,A300,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,250.0,VMC,takeoff,Probable Cause,FL,1983,11,6,False,airbus A300
accident,non-fatal,substantial,unknown,boeing,727,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,158.0,VMC,climb,Probable Cause,FL,1983,11,11,False,boeing 727
incident,incident,minor,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,6.0,112.0,VMC,taxi,Probable Cause,FL,1983,12,14,False,boeing DC10
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,7.0,38.0,VMC,cruise,Probable Cause,FL,1983,12,29,False,boeing 737
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,152.0,VMC,cruise,Probable Cause,FL,1984,1,20,False,boeing 727
incident,incident,minor,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,33.0,VMC,climb,Probable Cause,FL,1984,1,21,False,boeing DC9
accident,non-fatal,minor,unknown,boeing,DC8,no,4.0,turbo jet,commercial flight,0.0,1.0,3.0,188.0,VMC,descent,Probable Cause,FL,1984,4,23,False,boeing DC8
incident,incident,minor,unknown,lockheed,L1011,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,111.0,VMC,landing,Probable Cause,FL,1984,6,3,False,lockheed L1011
accident,non-fatal,unknown,unknown,boeing,DC8,no,4.0,turbo fan,commercial flight,0.0,1.0,8.0,145.0,VMC,descent,Probable Cause,FL,1984,7,24,False,boeing DC8
incident,incident,minor,unknown,boeing,DC9,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,96.0,VMC,takeoff,Probable Cause,FL,1984,8,25,False,boeing DC9
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo jet,commercial flight,0.0,1.0,1.0,43.0,VMC,cruise,Probable Cause,FL,1985,6,16,False,boeing 737
incident,incident,minor,unknown,boeing,DC8,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,107.0,VMC,takeoff,Probable Cause,FL,1985,9,8,False,boeing DC8
incident,incident,minor,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,122.0,VMC,takeoff,Probable Cause,FL,1985,10,19,False,boeing DC9
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,131.0,VMC,takeoff,Probable Cause,FL,1985,12,28,False,boeing 727
incident,incident,unknown,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,16.0,224.0,VMC,takeoff,Probable Cause,FL,1986,1,27,False,boeing 747
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,140.0,VMC,approach,Probable Cause,FL,1986,3,16,False,boeing 727
accident,non-fatal,unknown,unknown,airbus,A300,no,2.0,turbo fan,commercial flight,0.0,2.0,28.0,213.0,IMC,descent,Probable Cause,FL,1986,7,13,False,airbus A300
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,99.0,VMC,approach,Probable Cause,FL,1986,7,19,False,boeing 727
accident,fatal,substantial,unknown,boeing,727,no,3.0,turbo fan,commercial flight,1.0,1.0,2.0,20.0,IMC,taxi,Probable Cause,FL,1986,11,6,False,boeing 727
incident,incident,unknown,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,1.0,116.0,VMC,taxi,Probable Cause,FL,1986,12,21,False,boeing 747
accident,non-fatal,minor,unknown,fokker,F28,no,2.0,turbo jet,commercial flight,0.0,1.0,0.0,78.0,VMC,standing,Probable Cause,FL,1986,12,30,False,fokker F28
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,148.0,VMC,climb,Probable Cause,FL,1987,1,6,False,boeing 727
accident,non-fatal,unknown,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,1.0,0.0,95.0,VMC,climb,Probable Cause,FL,1987,4,1,False,boeing 727
incident,incident,unknown,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,1.0,220.0,VMC,descent,Probable Cause,FL,1987,6,26,False,boeing DC10
accident,non-fatal,substantial,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,118.0,VMC,taxi,Probable Cause,FL,1987,7,24,False,boeing 747
incident,incident,minor,unknown,boeing,727,no,3.0,turbo jet,commercial flight,0.0,0.0,4.0,36.0,VMC,descent,Probable Cause,FL,1987,9,2,False,boeing 727
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,131.0,VMC,taxi,Probable Cause,FL,1987,12,27,False,boeing 727
accident,non-fatal,substantial,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,4.0,103.0,IMC,landing,Probable Cause,FL,1987,12,27,False,boeing DC9
accident,non-fatal,substantial,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,349.0,VMC,landing,Probable Cause,FL,1988,3,3,False,boeing 747
accident,non-fatal,unknown,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,1.0,0.0,144.0,VMC,standing,Probable Cause,FL,1988,4,3,False,boeing 727
incident,incident,minor,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,85.0,VMC,takeoff,Probable Cause,FL,1988,7,24,False,boeing 737
incident,incident,unknown,unknown,boeing,MD88,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,93.0,VMC,landing,Probable Cause,FL,1988,8,1,False,boeing MD88
incident,incident,minor,unknown,boeing,707,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,12.0,VMC,landing,Probable Cause,FL,1988,11,16,False,boeing 707
accident,non-fatal,unknown,unknown,fokker,F28,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,13.0,VMC,cruise,Probable Cause,FL,1989,8,19,False,fokker F28
incident,incident,minor,unknown,boeing,757,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,106.0,VMC,landing,Probable Cause,FL,1989,9,13,False,boeing 757
accident,fatal,unknown,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,1.0,0.0,0.0,107.0,VMC,taxi,Probable Cause,FL,1989,10,7,False,boeing DC9
incident,incident,minor,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,34.0,IMC,approach,Probable Cause,FL,1989,12,8,False,boeing DC9
incident,incident,unknown,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,59.0,VMC,descent,Probable Cause,FL,1989,12,15,False,boeing 727
accident,fatal,unknown,unknown,boeing,727,no,3.0,turbo jet,commercial flight,1.0,0.0,0.0,53.0,VMC,cruise,Probable Cause,FL,1989,12,27,False,boeing 727
incident,incident,minor,unknown,boeing,727,no,3.0,turbo jet,commercial flight,0.0,0.0,0.0,145.0,VMC,cruise,Probable Cause,FL,1990,1,4,False,boeing 727
incident,incident,minor,unknown,boeing,727,no,3.0,turbo jet,commercial flight,0.0,0.0,0.0,150.0,VMC,cruise,Probable Cause,FL,1990,2,12,False,boeing 727
incident,incident,minor,unknown,boeing,707,no,4.0,turbo jet,commercial flight,0.0,0.0,0.0,3.0,VMC,takeoff,Probable Cause,FL,1990,4,24,False,boeing 707
accident,non-fatal,unknown,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,2.0,18.0,363.0,IMC,descent,Probable Cause,FL,1990,7,14,False,boeing 747
accident,non-fatal,unknown,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,1.0,1.0,150.0,IMC,descent,Probable Cause,FL,1990,7,18,False,boeing 727
accident,fatal,unknown,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,1.0,2.0,23.0,71.0,VMC,cruise,Probable Cause,FL,1990,10,3,False,boeing DC9
incident,incident,unknown,unknown,boeing,757,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,3.0,IMC,descent,Probable Cause,FL,1992,1,23,False,boeing 757
incident,incident,minor,unknown,boeing,DC8,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,461.0,VMC,standing,Probable Cause,FL,1992,2,8,False,boeing DC8
incident,incident,minor,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,461.0,VMC,takeoff,Probable Cause,FL,1992,2,8,False,boeing 767
accident,non-fatal,substantial,unknown,boeing,707,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,3.0,VMC,takeoff,Probable Cause,FL,1992,4,25,False,boeing 707
incident,incident,minor,unknown,boeing,DC8,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,3.0,VMC,taxi,Probable Cause,FL,1992,8,21,False,boeing DC8
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo jet,commercial flight,0.0,1.0,2.0,92.0,VMC,standing,Probable Cause,FL,1992,8,26,False,boeing 737
